ID,Name,Category,Developer,Region,Description,date
1,Speechki,Productivity,Speechki,Global,"The easiest way to convert texts to ready-to-use audio ¡ª download link, audio player page, or embed!",2023/5/16
2,BlockAtlas,Data analysis,BlockAtlas,US,"Search the US Census! Find data sets, ask questions, and visualize.",2023/5/16
3,OpenTable,Dining,OpenTable,Global,Allows you to search for restaurants available for booking dining experiences,2023/5/16
4,Weather Report Data,Weather,Weather Report Data,Global,Current weather data for cities and airports using METAR aviation feeds.,2023/5/16
5,Word Sneak,Gaming,OpenAI,Global,The AI has to sneak 3 secret words into your conversation. Guess the words to win the game!,2023/5/16
6,Chess,Gaming,OpenAI,Global,Unleash your inner chess master with this interactive chess experience! You can play against a novice or a grandmaster!,2023/5/16
7,Open Trivia,Gaming,Open Trivia Database,Global,Get trivia questions from various categories and difficulty levels.,2023/5/16
8,Klarna Shopping,Shopping,Klarna,Global,Search and compare prices from thousands of online shops.,2023/5/16
9,AITickerChat,Finance,AITickerChat,US,Retrieve USA stock insights from SEC filings as well as Earnings Call Transcripts.,2023/5/16
10,edX,Education,edX,Global,Find courses and content from leading universities to expand your knowledge at any level.,2023/5/16
11,ChatWithPDF,Productivity,ChatWithPDF,Global,"Plugin for asking questions, analyzing, and parsing through PDF documents by simply providing a PDF URL.",2023/5/16
12,Show Me,Productivity,Show Me,Global,Create and edit diagrams directly in chat.,2023/5/16
13,MixerBox OnePlayer,Entertainment,MixerBox Inc.,Global,"Unlimited music, podcasts, and videos across various genres. Enjoy endless listening with our rich playlists!",2023/5/16
14,Keyplays Live Soccer,Sports,Keyplays,Global,"Latest live soccer standings, results, commentary, tv stations, keyplays (with and without scores).",2023/5/16
15,AskYourPDF,Productivity,AskYourPDF,Global,"Unlock the power of your PDFs!, dive into your documents, find answers, and bring information to your fingertips.",2023/5/16
16,Wahi,Real estate,Wahi,Canada,"Hey Ontario, ask and get so in the know on the latest listings, property insights and more.",2023/5/16
17,Manorlead,Real estate,Manorlead,Canada and US,Get a list of listings for rent or sale in cities across Canada and the US based on your search criteria.,2023/5/16
18,GetYourGuide,Travel,GetYourGuide,Global,"Find tours, excursions and other travel activities you can book on GetYourGuide.",2023/5/16
19,PortfolioPilot,Finance,PortfolioPilot,US,"Your AI investing guide: portfolio assessment, recommendations, answers to all finance questions.",2023/5/16
20,Kraftful,Product development,Kraftful,Global,Your product development coach. Ask about best practices. Get top gurus¡¯ product thinking.,2023/5/16
21,Crafty Clues,Gaming,OpenAI,Global,Guess the words that the AI craftily clues for you. Add restrictions to make the game more interesting!,2023/5/16
22,Golden,Data analysis,Golden Research Engine Inc.,Global,Get current factual data on companies from the Golden knowledge graph.,2023/5/16
23,SEO.app,Marketing,SEO.app,Global,Your personal SEO assistant for content marketing.,2023/5/16
24,DEV Community,Education,DEV Community,Global,Plugin for recommending articles or users from DEV Community.,2023/5/16
25,KAYAK,Travel,KAYAK,Global,"Search flights, stays & rental cars or get recommendations where you can go on your budget.",2023/5/16
